Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Gender
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,2.0,98.0,gutt
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,2.0,111.0,jente
Wrecking Ball,Overwatch,227.0,19.99,84.0,1.0,78.0,nøytralt
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,53.0,gutt
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,2.0,44.0,gutt
World Fun,Classic,295.0,19.99,53.0,2.0,149.0,nøytralt
Mining Power Splitter,City,127.0,19.99,60.0,1.0,85.0,gutt
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,3.0,85.0,nøytralt
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,2.0,74.0,nøytralt
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,2.0,67.0,gutt
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,3.0,63.0,gutt
Alphabet Truck,DUPLO,36.0,24.99,1.0,2.0,35.0,nøytralt
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,1.0,10.0,nøytralt
Mining Team,City,82.0,9.99,32.0,4.0,64.0,gutt
Elsa's Market Adventure,Disney,125.0,19.99,48.0,2.0,78.0,nøytralt
Drone Chase,City,192.0,29.99,100.0,3.0,112.0,gutt
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,1.0,53.0,gutt
Airport,DUPLO,29.0,24.99,20.0,3.0,24.0,nøytralt
Molten Man Battle,Spider-Man,294.0,29.99,76.0,3.0,117.0,gutt
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,2.0,38.0,gutt
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,3.0,104.0,gutt
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,2.0,101.0,gutt
Kayak Adventure,City,84.0,9.99,36.0,1.0,48.0,gutt
Plane,DUPLO,12.0,9.99,10.0,1.0,11.0,nøytralt
Airshow Jet,City,87.0,9.99,56.0,1.0,53.0,gutt
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,1.0,45.0,gutt
Dock Side Fire,City,97.0,19.99,48.0,2.0,63.0,gutt
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,4.0,160.0,gutt
Fire Helicopter Response,City,93.0,29.99,44.0,3.0,61.0,gutt
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,4.0,101.0,nøytralt
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,1.0,78.0,jente
Racing Cars,City,190.0,29.99,84.0,2.0,101.0,gutt
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,2.0,119.0,nøytralt
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,3.0,110.0,jente
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,1.0,96.0,nøytralt
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,4.0,150.0,gutt
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,3.0,142.0,gutt
Underwater Loop,Friends,389.0,29.99,76.0,2.0,165.0,jente
Fire Chief Response Truck,City,201.0,29.99,84.0,2.0,98.0,gutt
Rover Testing Drive,City,202.0,29.99,96.0,2.0,98.0,gutt
Shuricopter,NINJAGO,361.0,29.99,100.0,3.0,163.0,gutt
The Blaze Bridge,Minecraft,372.0,29.99,108.0,3.0,127.0,nøytralt
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,3.0,159.0,gutt
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,3.0,84.0,nøytralt
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,2.0,112.0,gutt
Mia's Organic Food Market,Friends,115.0,19.99,56.0,1.0,70.0,jente
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,3.0,121.0,jente
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,1.0,47.0,gutt
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,1.0,43.0,gutt
Pteranodon Escape,Juniors,84.0,19.99,56.0,2.0,60.0,nøytralt
The Pillager Outpost,Minecraft,303.0,29.99,68.0,3.0,94.0,nøytralt
The Menace of Mysterio,Marvel,163.0,29.99,128.0,3.0,97.0,gutt
Monster Truck,City,192.0,19.99,76.0,1.0,76.0,gutt
Brick Box,DUPLO,65.0,29.99,20.0,2.0,46.0,nøytralt
Police Highway Arrest,City,185.0,29.99,108.0,2.0,98.0,gutt
Super Heroes Lab,DUPLO,30.0,29.99,16.0,3.0,23.0,nøytralt
Gamer's Market,NINJAGO,218.0,29.99,64.0,9.0,133.0,gutt
Nature Glamping,Friends,241.0,29.99,72.0,2.0,110.0,jente
Empire Dragon,NINJAGO,286.0,29.99,80.0,3.0,118.0,gutt
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,2.0,185.0,jente
Race Boat Transporter,City,238.0,29.99,124.0,2.0,123.0,gutt
Wild River Escape,City,126.0,19.99,56.0,2.0,71.0,gutt
Service & Care Truck,Friends,247.0,19.99,84.0,1.0,123.0,jente
War Machine Buster,Marvel,362.0,34.99,64.0,4.0,122.0,gutt
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,4.0,198.0,gutt
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,2.0,111.0,gutt
The Golden Dragon,NINJAGO,171.0,19.99,60.0,3.0,74.0,gutt
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,4.0,53.0,gutt
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,4.0,118.0,gutt
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,2.0,90.0,jente
RV Vacation,Disney,178.0,34.99,72.0,3.0,106.0,nøytralt
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,2.0,47.0,gutt
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,2.0,83.0,gutt
Stephanie's Bedroom,Friends,95.0,9.99,44.0,1.0,72.0,jente
Race Plane,Creator 3-in-1,333.0,29.99,200.0,1.0,134.0,nøytralt
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,2.0,108.0,gutt
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,2.0,94.0,gutt
Anakin's Podracer � 20th Anniversary Edition,Star Wars,279.0,29.99,84.0,3.0,110.0,gutt
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,1.0,23.0,gutt
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,1.0,26.0,gutt
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,3.0,88.0,gutt
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,3.0,104.0,gutt
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,1.0,39.0,gutt
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,2.0,49.0,gutt
Aragog's Lair,Harry Potter,157.0,14.99,56.0,2.0,82.0,nøytralt
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,2.0,100.0,gutt
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,2.0,88.0,gutt
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,2.0,72.0,gutt
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,4.0,121.0,nøytralt
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,3.0,136.0,gutt
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,3.0,149.0,gutt
Newbury Subway,Hidden Side,348.0,29.99,108.0,3.0,146.0,gutt
Emma's Fashion Shop,Friends,343.0,29.99,112.0,2.0,152.0,jente
Panda Jungle Tree House,Friends,265.0,29.99,120.0,2.0,149.0,jente
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,2.0,186.0,gutt
Bakery,DUPLO,46.0,34.99,20.0,2.0,33.0,nøytralt
Police Station,DUPLO,38.0,29.99,22.0,3.0,25.0,nøytralt
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,1.0,33.0,gutt
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,3.0,48.0,gutt
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,3.0,65.0,gutt
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,3.0,115.0,gutt
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,1.0,23.0,gutt
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,1.0,55.0,nøytralt
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,2.0,37.0,nøytralt
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,1.0,88.0,gutt
Off-Road Chase,City,37.0,6.99,20.0,2.0,28.0,gutt
Turtles Rescue Mission,Friends,225.0,19.99,72.0,2.0,125.0,jente
Parachute Arrest,City,218.0,39.99,120.0,4.0,139.0,gutt
City Advent Calendar,City,234.0,29.99,3.0,8.0,161.0,gutt
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,2.0,68.0,gutt
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,2.0,192.0,jente
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,3.0,98.0,gutt
People Pack - Fun Fair,City,183.0,39.99,64.0,14.0,138.0,gutt
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,1.0,89.0,jente
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,3.0,143.0,gutt
Mars Research Shuttle,City,273.0,39.99,160.0,2.0,135.0,gutt
The Knight Bus,Harry Potter,403.0,39.99,84.0,3.0,128.0,nøytralt
Fire Fang,NINJAGO,463.0,39.99,88.0,4.0,175.0,gutt
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,3.0,82.0,gutt
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,5.0,106.0,nøytralt
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,3.0,175.0,jente
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,1.0,97.0,jente
Road Repair Truck,Juniors,73.0,9.99,32.0,1.0,50.0,nøytralt
Heartlake City Supermarket,Friends,140.0,29.99,68.0,2.0,90.0,jente
Katana V11,NINJAGO,257.0,19.99,84.0,2.0,111.0,gutt
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,2.0,77.0,nøytralt
Belle's Story Time,Juniors,87.0,14.99,44.0,2.0,66.0,nøytralt
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,2.0,82.0,gutt
City Advent Calendar,City,313.0,29.99,4.0,6.0,194.0,gutt
Arctic Ice Crawler,City,200.0,24.99,92.0,1.0,80.0,gutt
Burger Bar Fire Rescue,City,327.0,39.99,164.0,3.0,153.0,gutt
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,1.0,74.0,gutt
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,4.0,52.0,gutt
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,3.0,130.0,gutt
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,4.0,195.0,gutt
Forest Tractor,City,174.0,19.99,64.0,1.0,77.0,gutt
Mia's Horse Trailer,Friends,216.0,29.99,76.0,2.0,119.0,jente
Andrea's Bedroom,Friends,85.0,9.99,44.0,1.0,60.0,jente
Mountain Police Chase,Juniors,115.0,19.99,64.0,2.0,85.0,nøytralt
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,1.0,86.0,nøytralt
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,4.0,163.0,nøytralt
Police Helicopter Chase,City,212.0,39.99,128.0,4.0,127.0,gutt
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,2.0,168.0,jente
Baking Competition,Friends,361.0,39.99,104.0,3.0,157.0,jente
Golden Mech,NINJAGO,489.0,39.99,108.0,4.0,172.0,gutt
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,3.0,82.0,gutt
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,2.0,114.0,gutt
Friends Advent Calendar,Friends,330.0,29.99,2.0,3.0,158.0,jente
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,4.0,149.0,jente
The Skull Arena,Minecraft,198.0,19.99,68.0,2.0,68.0,nøytralt
Mia's Bedroom,Friends,86.0,9.99,48.0,1.0,63.0,jente
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,2.0,126.0,gutt
Farmers' Market,DUPLO,26.0,19.99,9.0,3.0,18.0,nøytralt
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,4.0,52.0,gutt
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,3.0,98.0,gutt
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,3.0,103.0,gutt
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,3.0,97.0,gutt
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,1.0,103.0,nøytralt
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,3.0,54.0,gutt
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,1.0,78.0,gutt
The Bat-Dune Buggy,DC,198.0,19.99,64.0,2.0,92.0,gutt
Ambulance Helicopter,City,190.0,19.99,84.0,3.0,108.0,gutt
LEGO Movie Maker,THE LEGO MOVIE 2,482.0,49.99,96.0,6.0,243.0,nøytralt
Creative Tuning Shop,Friends,413.0,39.99,108.0,2.0,217.0,jente
Dorado Showdown,Overwatch,419.0,29.99,124.0,3.0,168.0,nøytralt
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,2.0,44.0,gutt
Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,430.0,49.99,84.0,4.0,160.0,nøytralt
Star Wars Advent Calendar,Star Wars,307.0,39.99,4.0,7.0,186.0,gutt
Rhino Face-Off by the Mine,Marvel,229.0,19.99,88.0,3.0,100.0,gutt
Iron Man Hulkbuster versus A.I.M. Agent,Marvel,456.0,39.99,80.0,4.0,143.0,gutt
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,2.0,168.0,nøytralt
Tiger Hot Air Balloon Jungle Rescue,Friends,302.0,39.99,116.0,2.0,145.0,jente
Avengers Truck Take-down,Marvel,477.0,39.99,116.0,4.0,164.0,gutt
Ocean Exploration Submarine,City,286.0,39.99,141.0,4.0,131.0,gutt
Townhouse Toy Store,Creator 3-in-1,554.0,39.99,268.0,2.0,194.0,nøytralt
Space Rover Explorer,Creator 3-in-1,510.0,39.99,276.0,1.0,206.0,nøytralt
Riverside Houseboat,Creator 3-in-1,396.0,39.99,200.0,2.0,157.0,nøytralt
Rebel A-wing Starfighter,Star Wars,62.0,14.99,36.0,2.0,44.0,gutt
