Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,3.0,159.0,gutt
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,2.0,112.0,gutt
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,1.0,47.0,gutt
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,1.0,43.0,gutt
The Menace of Mysterio,Marvel,163.0,29.99,128.0,3.0,97.0,gutt
Monster Truck,City,192.0,19.99,76.0,1.0,76.0,gutt
Police Highway Arrest,City,185.0,29.99,108.0,2.0,98.0,gutt
Gamer's Market,NINJAGO,218.0,29.99,64.0,9.0,133.0,gutt
Empire Dragon,NINJAGO,286.0,29.99,80.0,3.0,118.0,gutt
Race Boat Transporter,City,238.0,29.99,124.0,2.0,123.0,gutt
Wild River Escape,City,126.0,19.99,56.0,2.0,71.0,gutt
War Machine Buster,Marvel,362.0,34.99,64.0,4.0,122.0,gutt
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,4.0,198.0,gutt
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,2.0,111.0,gutt
The Golden Dragon,NINJAGO,171.0,19.99,60.0,3.0,74.0,gutt
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,4.0,53.0,gutt
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,4.0,118.0,gutt
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,2.0,47.0,gutt
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,2.0,83.0,gutt
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,2.0,108.0,gutt
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,2.0,94.0,gutt
Anakin's Podracer ï¿½ 20th Anniversary Edition,Star Wars,279.0,29.99,84.0,3.0,110.0,gutt
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,1.0,23.0,gutt
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,1.0,26.0,gutt
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,3.0,88.0,gutt
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,3.0,104.0,gutt
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,1.0,39.0,gutt
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,2.0,49.0,gutt
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,2.0,100.0,gutt
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,2.0,88.0,gutt
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,2.0,72.0,gutt
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,3.0,136.0,gutt
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,3.0,149.0,gutt
Newbury Subway,Hidden Side,348.0,29.99,108.0,3.0,146.0,gutt
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,2.0,186.0,gutt
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,1.0,33.0,gutt
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,3.0,48.0,gutt
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,3.0,65.0,gutt
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,3.0,115.0,gutt
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,1.0,23.0,gutt
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,1.0,88.0,gutt
Off-Road Chase,City,37.0,6.99,20.0,2.0,28.0,gutt
Parachute Arrest,City,218.0,39.99,120.0,4.0,139.0,gutt
City Advent Calendar,City,234.0,29.99,3.0,8.0,161.0,gutt
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,2.0,68.0,gutt
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,3.0,98.0,gutt
People Pack - Fun Fair,City,183.0,39.99,64.0,14.0,138.0,gutt
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,3.0,143.0,gutt
Mars Research Shuttle,City,273.0,39.99,160.0,2.0,135.0,gutt
Fire Fang,NINJAGO,463.0,39.99,88.0,4.0,175.0,gutt
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,3.0,82.0,gutt
Katana V11,NINJAGO,257.0,19.99,84.0,2.0,111.0,gutt
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,2.0,82.0,gutt
City Advent Calendar,City,313.0,29.99,4.0,6.0,194.0,gutt
Arctic Ice Crawler,City,200.0,24.99,92.0,1.0,80.0,gutt
Burger Bar Fire Rescue,City,327.0,39.99,164.0,3.0,153.0,gutt
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,1.0,74.0,gutt
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,4.0,52.0,gutt
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,3.0,130.0,gutt
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,4.0,195.0,gutt
Forest Tractor,City,174.0,19.99,64.0,1.0,77.0,gutt
Police Helicopter Chase,City,212.0,39.99,128.0,4.0,127.0,gutt
Golden Mech,NINJAGO,489.0,39.99,108.0,4.0,172.0,gutt
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,3.0,82.0,gutt
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,2.0,114.0,gutt
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,2.0,126.0,gutt
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,4.0,52.0,gutt
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,3.0,98.0,gutt
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,3.0,103.0,gutt
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,3.0,97.0,gutt
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,3.0,54.0,gutt
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,1.0,78.0,gutt
The Bat-Dune Buggy,DC,198.0,19.99,64.0,2.0,92.0,gutt
Ambulance Helicopter,City,190.0,19.99,84.0,3.0,108.0,gutt
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,2.0,44.0,gutt
Star Wars Advent Calendar,Star Wars,307.0,39.99,4.0,7.0,186.0,gutt
Rhino Face-Off by the Mine,Marvel,229.0,19.99,88.0,3.0,100.0,gutt
Iron Man Hulkbuster versus A.I.M. Agent,Marvel,456.0,39.99,80.0,4.0,143.0,gutt
Avengers Truck Take-down,Marvel,477.0,39.99,116.0,4.0,164.0,gutt
Ocean Exploration Submarine,City,286.0,39.99,141.0,4.0,131.0,gutt
Rebel A-wing Starfighter,Star Wars,62.0,14.99,36.0,2.0,44.0,gutt
Spider Mech vs. Venom ,Marvel,604.0,49.99,104.0,4.0,203.0,gutt
Pasaana Speeder Chase,Star Wars,373.0,39.99,116.0,4.0,177.0,gutt
Haunted Fairground,Hidden Side,466.0,49.99,124.0,5.0,212.0,gutt
Shrimp Shack Attack,Hidden Side,578.0,49.99,128.0,5.0,293.0,gutt
Newbury Abandoned Prison,Hidden Side,400.0,39.99,132.0,4.0,164.0,gutt
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,481.0,49.99,64.0,4.0,187.0,gutt
Superman & Krypto Team-Up,DC,199.0,19.99,76.0,2.0,110.0,gutt
Black Ace TIE Interceptor,Star Wars,396.0,49.99,84.0,3.0,161.0,gutt
Garage Centre,City,234.0,49.99,116.0,4.0,62.0,gutt
AT-ST Raider,Star Wars,540.0,49.99,120.0,4.0,211.0,gutt
Katana 4X4,NINJAGO,450.0,49.99,128.0,5.0,185.0,gutt
Batwing and The Riddler Heist,Batman,489.0,49.99,132.0,4.0,212.0,gutt
Batman and The Joker Escape,Batman,171.0,39.99,72.0,4.0,119.0,gutt
The Hulkbuster Smash-Up,Marvel,375.0,29.99,84.0,4.0,143.0,gutt
Imperial Dropship ï¿½ 20th Anniversary Edition,Star Wars,125.0,19.99,60.0,3.0,57.0,gutt
Throne Room Showdown,NINJAGO,221.0,19.99,68.0,5.0,111.0,gutt
Service Station,City,354.0,49.99,193.0,4.0,179.0,gutt
Cloud-Rider Swoop Bikes,Star Wars,355.0,29.99,92.0,3.0,148.0,gutt
TIE Fighter Attack,Star Wars,77.0,19.99,40.0,2.0,50.0,gutt
Escape Pod vs. Dewback Microfighters,Star Wars,177.0,19.99,64.0,3.0,79.0,gutt
Destiny's Wing,NINJAGO,181.0,19.99,76.0,2.0,100.0,gutt
Jay's Cyber Dragon,NINJAGO,518.0,49.99,84.0,5.0,189.0,gutt
Hydro-Man Attack,Marvel,471.0,39.99,96.0,4.0,170.0,gutt
Thunder Raider,NINJAGO,576.0,49.99,148.0,5.0,191.0,gutt
Police Helicopter Transport,City,317.0,49.99,156.0,4.0,161.0,gutt
The Lighthouse of Darkness,Hidden Side,540.0,49.99,156.0,5.0,240.0,gutt
The Joker Batcave Attack,Batman,151.0,24.99,76.0,3.0,94.0,gutt
Spider-Man vs. Electro,Marvel,29.0,19.99,10.0,2.0,22.0,gutt
Star Wars Advent Calendar,Star Wars,280.0,39.99,2.0,9.0,177.0,gutt
Gentle Giants Petting Zoo,Jurassic World,24.0,19.99,13.0,1.0,19.0,gutt
Paranormal Intercept Bus 3000,Hidden Side,689.0,59.99,136.0,5.0,272.0,gutt
Porsche 919 Hybrid,Speed Champions,163.0,14.99,60.0,1.0,75.0,gutt
Baryonyx Face-Off: The Treasure Hunt,Jurassic World,434.0,59.99,96.0,4.0,211.0,gutt
Avengers Hulk Helicopter Rescue,Marvel,482.0,59.99,100.0,4.0,187.0,gutt
Iron Man Hall of Armour,Marvel,524.0,59.99,104.0,5.0,156.0,gutt
Action Battle Echo Base Defence,Star Wars,504.0,59.99,112.0,5.0,192.0,gutt
Lunar Space Station,City,412.0,59.99,172.0,5.0,171.0,gutt
Triceratops Rampage,Jurassic World,447.0,59.99,112.0,4.0,200.0,gutt
Thor's Weapon Quest,Marvel,223.0,19.99,84.0,3.0,112.0,gutt
Millennium Falcon Microfighter,Star Wars,92.0,9.99,44.0,1.0,48.0,gutt
T. rex Tower,Jurassic World,22.0,29.99,14.0,1.0,18.0,gutt
Ahch-To Island Training,Star Wars,241.0,29.99,84.0,2.0,129.0,gutt
Spider-Man's Spider Crawler ,Marvel,418.0,39.99,84.0,4.0,132.0,gutt
Moloch's Landspeeder,Star Wars,464.0,39.99,144.0,2.0,163.0,gutt
Joker's Trike Chase,Batman,440.0,49.99,108.0,4.0,181.0,gutt
Gallimimus and Pteranodon Breakout,Jurassic World,391.0,49.99,112.0,3.0,170.0,gutt
Kai's Blade Cycle & Zane's Snowmobile,NINJAGO,376.0,29.99,128.0,4.0,189.0,gutt
Lamborghini Urus ST-X & Huracï¿½n Super Trofeo EVO ,Speed Champions,663.0,49.99,144.0,2.0,202.0,gutt
Stygimoloch Breakout,Jurassic World,222.0,29.99,84.0,2.0,91.0,gutt
Police Monster Truck Heist,City,362.0,59.99,200.0,5.0,198.0,gutt
Death Star Escape,Star Wars,329.0,29.99,84.0,4.0,110.0,gutt
Fire Plane,City,363.0,59.99,156.0,3.0,151.0,gutt
Porsche 911 RSR and 911 Turbo 3.0,Speed Champions,391.0,29.99,120.0,3.0,166.0,gutt
Harvester Transport,City,358.0,29.99,148.0,3.0,166.0,gutt
Resistance Y-wing Starfighter,Star Wars,578.0,69.99,76.0,5.0,177.0,gutt
Stark Jet and the Drone Attack,Spider-Man,504.0,69.99,96.0,4.0,176.0,gutt
Major Vonreg's TIE Fighter,Star Wars,496.0,69.99,92.0,4.0,151.0,gutt
Fire Station,City,509.0,69.99,184.0,4.0,210.0,gutt
D-O,Star Wars,519.0,69.99,72.0,1.0,149.0,gutt
Lex Luthor Mech Takedown,DC,406.0,39.99,84.0,5.0,159.0,gutt
Avengers Wrath of Loki,Marvel,223.0,59.99,124.0,5.0,137.0,gutt
Central Airport,City,286.0,59.99,169.0,6.0,168.0,gutt
Phantom Fire Truck 3000,Hidden Side,760.0,59.99,148.0,6.0,263.0,gutt
Batman Mech vs. Poison Ivy Mech ,Batman,375.0,39.99,92.0,4.0,173.0,gutt
Street Race of Snake Jaguar,NINJAGO,308.0,29.99,112.0,2.0,130.0,gutt
Snoke's Throne Room,Star Wars,492.0,69.99,104.0,4.0,166.0,gutt
Yoda's Hut,Star Wars,229.0,29.99,72.0,3.0,139.0,gutt
Dirt Road Pursuit,City,297.0,39.99,116.0,3.0,140.0,gutt
Royal Talon Fighter Attack,Marvel,358.0,29.99,100.0,4.0,119.0,gutt
Pickup & Caravan,City,344.0,29.99,140.0,3.0,188.0,gutt
Arctic Air Transport,City,277.0,39.99,112.0,2.0,113.0,gutt
Blue's Helicopter Pursuit,Jurassic World,397.0,39.99,112.0,3.0,177.0,gutt
Heavy Cargo Transport,City,310.0,29.99,128.0,2.0,161.0,gutt
People Pack - Outdoor Adventures,City,164.0,39.99,64.0,15.0,128.0,gutt
Mining Heavy Driller,City,294.0,49.99,124.0,3.0,139.0,gutt
Knights of Ren Transport Ship,Star Wars,595.0,69.99,136.0,3.0,182.0,gutt
Empire Temple of Madness,NINJAGO,810.0,79.99,160.0,6.0,267.0,gutt
Lloyd's Titan Mech,NINJAGO,876.0,79.99,164.0,6.0,230.0,gutt
Monastery of Spinjitzu,NINJAGO,1070.0,79.99,188.0,8.0,359.0,gutt
Mos Eisley Cantina,Star Wars,376.0,39.99,80.0,4.0,140.0,gutt
S.O.G. Headquarters,NINJAGO,530.0,39.99,96.0,5.0,246.0,gutt
First Order AT-ST,Star Wars,370.0,39.99,80.0,4.0,157.0,gutt
Arctic Scout Truck,City,322.0,59.99,100.0,3.0,148.0,gutt
General Grievous' Combat Speeder,Star Wars,157.0,29.99,60.0,2.0,76.0,gutt
The Ultra Dragon,NINJAGO,951.0,84.99,160.0,6.0,262.0,gutt
Clone Scout Walker ï¿½ 20th Anniversary Edition,Star Wars,250.0,29.99,80.0,5.0,109.0,gutt
Sith TIE Fighter,Star Wars,470.0,79.99,104.0,3.0,127.0,gutt
Venomosaurus Ambush,Marvel,640.0,79.99,148.0,5.0,242.0,gutt
Ocean Exploration Base,City,497.0,79.99,165.0,5.0,180.0,gutt
Avengers Ultimate Quinjet,Marvel,840.0,79.99,160.0,5.0,252.0,gutt
Avengers Compound Battle,Marvel,699.0,99.99,168.0,7.0,292.0,gutt
Donut Shop Opening,City,790.0,89.99,320.0,10.0,368.0,gutt
Mountain Arrest,City,303.0,59.99,136.0,4.0,168.0,gutt
Air Base,City,529.0,89.99,260.0,6.0,270.0,gutt
Diamond Heist,City,400.0,59.99,160.0,4.0,191.0,gutt
AT-AP Walker,Star Wars,689.0,59.99,140.0,4.0,214.0,gutt
Snowspeeder ï¿½ 20th Anniversary Edition,Star Wars,309.0,39.99,116.0,4.0,159.0,gutt
Poe Dameron's X-wing Fighter,Star Wars,761.0,89.99,124.0,4.0,219.0,gutt
T. rex vs Dino-Mech Battle,Jurassic World,716.0,89.99,176.0,4.0,254.0,gutt
Avengers Tower Battle,Marvel,685.0,89.99,136.0,7.0,250.0,gutt
Mobile Bat Base,DC,743.0,89.99,140.0,6.0,275.0,gutt
Yoda,Star Wars,1771.0,99.99,224.0,1.0,235.0,gutt
Castle of the Forsaken Emperor,NINJAGO,1218.0,99.99,248.0,7.0,361.0,gutt
Deep Space Rocket and Launch Control,City,837.0,99.99,304.0,7.0,308.0,gutt
Downtown Fire Brigade,City,943.0,99.99,414.0,7.0,400.0,gutt
Thanos: Ultimate Battle,Marvel,674.0,69.99,116.0,4.0,190.0,gutt
Stormbringer,NINJAGO,493.0,39.99,108.0,4.0,182.0,gutt
Oni Titan,NINJAGO,522.0,49.99,96.0,4.0,183.0,gutt
Cole's Earth Driller ,NINJAGO,587.0,49.99,132.0,4.0,216.0,gutt
NASA Apollo 11 Lunar Lander,Creator Expert,1087.0,99.99,124.0,2.0,193.0,gutt
Batcave Clayface Invasion,Batman,1038.0,99.99,168.0,6.0,333.0,gutt
Passenger Airplane,City,669.0,99.99,273.0,9.0,288.0,gutt
Indominus rex vs. Ankylosaurus,Jurassic World,537.0,99.99,112.0,5.0,216.0,gutt
Crocodile Locomotive,Creator Expert,1271.0,99.99,132.0,2.0,212.0,gutt
Gingerbread House,Creator Expert,1477.0,99.99,196.0,2.0,321.0,gutt
Mystery Castle,Hidden Side,1035.0,99.99,296.0,5.0,335.0,gutt
Police Station,City,743.0,99.99,345.0,7.0,298.0,gutt
Tuning Workshop,City,897.0,99.99,389.0,7.0,411.0,gutt
Ghost Train Express,Hidden Side,698.0,79.99,136.0,6.0,268.0,gutt
Defense of Crait,Star Wars,746.0,84.99,144.0,4.0,289.0,gutt
Imperial AT-Hauler,Star Wars,829.0,99.99,148.0,5.0,206.0,gutt
Arctic Supply Plane,City,707.0,79.99,132.0,4.0,239.0,gutt
Ninja Nightcrawler,NINJAGO,552.0,39.99,124.0,3.0,205.0,gutt
T. Rex Transport,Jurassic World,609.0,69.99,156.0,3.0,174.0,gutt
Imperial Conveyex Transport,Star Wars,622.0,89.99,120.0,4.0,187.0,gutt
Land Bounty,NINJAGO,1178.0,129.99,252.0,9.0,400.0,gutt
Speed Force Freeze Pursuit,DC,271.0,29.99,80.0,4.0,138.0,gutt
Avengers Helicarrier,Marvel,1244.0,119.99,220.0,8.0,355.0,gutt
Slave I - 20th Anniversary Edition,Star Wars,1007.0,119.99,164.0,6.0,293.0,gutt
Firstbourne,NINJAGO,882.0,69.99,172.0,6.0,337.0,gutt
Corvus Glaive Thresher Attack,Marvel,416.0,39.99,124.0,5.0,168.0,gutt
Kylo Ren's Shuttle,Star Wars,1005.0,129.99,184.0,6.0,271.0,gutt
Darth Vader's Castle,Star Wars,1060.0,129.99,188.0,5.0,285.0,gutt
Ferrari Ultimate Garage,Speed Champions,841.0,99.99,200.0,7.0,309.0,gutt
Newbury Haunted High School,Hidden Side,1474.0,129.99,308.0,8.0,482.0,gutt
Passenger Train,City,677.0,159.99,230.0,4.0,165.0,gutt
Rocket Assembly &Transport,City,1055.0,149.99,340.0,8.0,364.0,gutt
Carnotaurus Gyrosphere Escape,Jurassic World,577.0,79.99,140.0,3.0,226.0,gutt
App-Controlled Batmobile,DC,321.0,99.99,108.0,1.0,114.0,gutt
Mountain Police Headquarters,City,663.0,89.99,272.0,7.0,324.0,gutt
Droid Gunship,Star Wars,389.0,49.99,84.0,3.0,150.0,gutt
Ocean Exploration Ship,City,745.0,149.99,229.0,8.0,314.0,gutt
The Bat-Space Shuttle,DC,643.0,79.99,124.0,6.0,239.0,gutt
Arctic Mobile Exploration Base,City,786.0,119.99,236.0,6.0,255.0,gutt
Millennium Falcon,Star Wars,1353.0,159.99,268.0,7.0,352.0,gutt
Killow vs. Samurai X,NINJAGO,556.0,49.99,128.0,3.0,220.0,gutt
X-wing Starfighter,Star Wars,730.0,79.99,120.0,4.0,224.0,gutt
Imperial Landing Craft,Star Wars,636.0,89.99,108.0,5.0,191.0,gutt
Bookshop,Creator Expert,2504.0,179.99,216.0,5.0,561.0,gutt
Cargo Train,City,1227.0,229.99,362.0,6.0,410.0,gutt
Vestas Wind Turbine,Creator Expert,826.0,199.99,148.0,3.0,230.0,gutt
