Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
Alphabet Truck,DUPLO,36.0,24.99,1.0,2.0,35.0,nøytralt
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,1.0,10.0,nøytralt
Elsa's Market Adventure,Disney,125.0,19.99,48.0,2.0,78.0,nøytralt
Airport,DUPLO,29.0,24.99,20.0,3.0,24.0,nøytralt
Plane,DUPLO,12.0,9.99,10.0,1.0,11.0,nøytralt
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,4.0,101.0,nøytralt
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,2.0,119.0,nøytralt
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,1.0,96.0,nøytralt
The Blaze Bridge,Minecraft,372.0,29.99,108.0,3.0,127.0,nøytralt
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,3.0,84.0,nøytralt
Pteranodon Escape,Juniors,84.0,19.99,56.0,2.0,60.0,nøytralt
The Pillager Outpost,Minecraft,303.0,29.99,68.0,3.0,94.0,nøytralt
Brick Box,DUPLO,65.0,29.99,20.0,2.0,46.0,nøytralt
Super Heroes Lab,DUPLO,30.0,29.99,16.0,3.0,23.0,nøytralt
RV Vacation,Disney,178.0,34.99,72.0,3.0,106.0,nøytralt
Race Plane,Creator 3-in-1,333.0,29.99,200.0,1.0,134.0,nøytralt
Aragog's Lair,Harry Potter,157.0,14.99,56.0,2.0,82.0,nøytralt
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,4.0,121.0,nøytralt
Bakery,DUPLO,46.0,34.99,20.0,2.0,33.0,nøytralt
Police Station,DUPLO,38.0,29.99,22.0,3.0,25.0,nøytralt
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,1.0,55.0,nøytralt
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,2.0,37.0,nøytralt
The Knight Bus,Harry Potter,403.0,39.99,84.0,3.0,128.0,nøytralt
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,5.0,106.0,nøytralt
Road Repair Truck,Juniors,73.0,9.99,32.0,1.0,50.0,nøytralt
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,2.0,77.0,nøytralt
Belle's Story Time,Juniors,87.0,14.99,44.0,2.0,66.0,nøytralt
Mountain Police Chase,Juniors,115.0,19.99,64.0,2.0,85.0,nøytralt
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,1.0,86.0,nøytralt
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,4.0,163.0,nøytralt
The Skull Arena,Minecraft,198.0,19.99,68.0,2.0,68.0,nøytralt
Farmers' Market,DUPLO,26.0,19.99,9.0,3.0,18.0,nøytralt
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,1.0,103.0,nøytralt
LEGO Movie Maker,THE LEGO MOVIE 2,482.0,49.99,96.0,6.0,243.0,nøytralt
Dorado Showdown,Overwatch,419.0,29.99,124.0,3.0,168.0,nøytralt
Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,430.0,49.99,84.0,4.0,160.0,nøytralt
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,2.0,168.0,nøytralt
Townhouse Toy Store,Creator 3-in-1,554.0,39.99,268.0,2.0,194.0,nøytralt
Space Rover Explorer,Creator 3-in-1,510.0,39.99,276.0,1.0,206.0,nøytralt
Riverside Houseboat,Creator 3-in-1,396.0,39.99,200.0,2.0,157.0,nøytralt
Rapunzel's Castle Bedroom,Disney,156.0,19.99,56.0,1.0,93.0,nøytralt
Zane's Ninja Boat Pursuit,Juniors,131.0,19.99,64.0,2.0,78.0,nøytralt
The Redstone Battle,Minecraft,504.0,39.99,88.0,4.0,133.0,nøytralt
Fairground Carousel,Creator 3-in-1,595.0,49.99,236.0,3.0,223.0,nøytralt
Raptor Rescue Truck,Juniors,85.0,24.99,56.0,2.0,56.0,nøytralt
Frozen Ice Castle,Disney,59.0,49.99,28.0,3.0,31.0,nøytralt
Monster Burger Truck,Creator 3-in-1,499.0,49.99,248.0,2.0,183.0,nøytralt
Harry Potter Advent Calendar,Harry Potter,305.0,39.99,3.0,8.0,151.0,nøytralt
Brick-built Minions and their Lair,Minions,876.0,49.99,184.0,3.0,180.0,nøytralt
Mickey's Vacation House,Disney,57.0,49.99,28.0,3.0,37.0,nøytralt
Fire Station,DUPLO,76.0,49.99,34.0,2.0,47.0,nøytralt
D.Va & Reinhardt,Overwatch,455.0,39.99,108.0,2.0,161.0,nøytralt
Pirate Ship,Minecraft,386.0,39.99,116.0,3.0,143.0,nøytralt
Shimmer & Shine Sparkle Spa!,THE LEGO MOVIE 2,694.0,69.99,128.0,8.0,209.0,nøytralt
Modular Sweet Surprises,Creator 3-in-1,396.0,39.99,184.0,3.0,187.0,nøytralt
Modular Winter Vacation,Creator 3-in-1,374.0,34.99,200.0,2.0,142.0,nøytralt
Belle's Tea Party,Disney,19.0,19.99,8.0,1.0,16.0,nøytralt
Wyld-Mayhem Star Fighter,THE LEGO MOVIE 2,405.0,49.99,132.0,4.0,157.0,nøytralt
City Central Airport,Juniors,376.0,49.99,144.0,5.0,170.0,nøytralt
Ariel's Castle,Disney,115.0,24.99,56.0,1.0,74.0,nøytralt
Mickey's Boat,Disney,28.0,29.99,24.0,2.0,25.0,nøytralt
Hagrid's Hut: Buckbeak's Rescue,Harry Potter,496.0,59.99,120.0,6.0,208.0,nøytralt
Twin-Rotor Helicopter,Creator 3-in-1,569.0,59.99,228.0,1.0,200.0,nøytralt
Underminer's Bank Heist,Juniors,149.0,24.99,64.0,3.0,99.0,nøytralt
Rapunzel's Travelling Caravan,Disney,323.0,39.99,108.0,2.0,171.0,nøytralt
Belle's Castle Winter Celebration,Disney,238.0,49.99,108.0,6.0,146.0,nøytralt
Ocean's Bottom,Classic,579.0,29.99,57.0,2.0,218.0,nøytralt
Steam Train,DUPLO,59.0,59.99,48.0,2.0,38.0,nøytralt
Hogwarts Whomping Willow,Harry Potter,753.0,69.99,148.0,6.0,253.0,nøytralt
Large Playground Brick Box,DUPLO,71.0,49.99,32.0,2.0,49.0,nøytralt
The Flintstones,Ideas,748.0,59.99,180.0,4.0,242.0,nøytralt
Pop-Up Party Bus,THE LEGO MOVIE 2,1024.0,79.99,172.0,4.0,294.0,nøytralt
The Illager Raid,Minecraft,562.0,59.99,96.0,5.0,187.0,nøytralt
The Great Home Escape,Juniors,178.0,29.99,76.0,4.0,123.0,nøytralt
Tropical Island,DUPLO,73.0,59.99,40.0,3.0,44.0,nøytralt
Modular Playhouse,DUPLO,129.0,59.99,84.0,3.0,56.0,nøytralt
Central Perk,Ideas,1070.0,59.99,156.0,7.0,366.0,nøytralt
Dinosaur Fossils,Ideas,910.0,59.99,169.0,2.0,201.0,nøytralt
Mobile Stunt Show,Creator 3-in-1,581.0,49.99,224.0,2.0,212.0,nøytralt
The Melon Farm,Minecraft,69.0,14.99,44.0,3.0,47.0,nøytralt
Hogwarts Express,Harry Potter,801.0,79.99,124.0,6.0,261.0,nøytralt
Emmet and Lucy's Escape Buggy!,THE LEGO MOVIE 2,550.0,49.99,124.0,4.0,199.0,nøytralt
Cruising Adventures,Creator 3-in-1,597.0,59.99,216.0,3.0,246.0,nøytralt
Aladdin's and Jasmine's Palace Adventures,Disney,193.0,29.99,76.0,2.0,114.0,nøytralt
The Polar Igloo,Minecraft,278.0,29.99,84.0,2.0,95.0,nøytralt
Watchpoint: Gibraltar,Overwatch,730.0,89.99,192.0,4.0,287.0,nøytralt
Unikingdom Creative Brick Box,Unikitty,433.0,39.99,172.0,17.0,220.0,nøytralt
4 Privet Drive,Harry Potter,797.0,69.99,184.0,6.0,255.0,nøytralt
Caravan Family Holiday,Creator 3-in-1,766.0,69.99,276.0,3.0,328.0,nøytralt
The Crafting Box 3.0,Minecraft,564.0,69.99,180.0,4.0,128.0,nøytralt
The Nether Portal,Minecraft,470.0,39.99,112.0,3.0,146.0,nøytralt
T. Rex Breakout,Juniors,150.0,49.99,76.0,3.0,98.0,nøytralt
Townhouse Pet Shop & Cafï¿½,Creator 3-in-1,969.0,79.99,356.0,3.0,289.0,nøytralt
Spider-Man & Hulk Adventures,DUPLO,38.0,29.99,20.0,3.0,29.0,nøytralt
Sunshine Surfer Van,Creator 3-in-1,379.0,34.99,184.0,2.0,160.0,nøytralt
The Nether Fight,Minecraft,84.0,14.99,40.0,3.0,48.0,nøytralt
TRON: Legacy,Ideas,230.0,34.99,68.0,3.0,73.0,nøytralt
The Creeper Mine,Minecraft,834.0,79.99,164.0,4.0,206.0,nøytralt
Ariel's Royal Celebration Boat,Disney,380.0,49.99,108.0,2.0,156.0,nøytralt
Modular Skate House,Creator 3-in-1,422.0,39.99,196.0,2.0,169.0,nøytralt
Farm Pony Stable,DUPLO,59.0,29.99,25.0,2.0,31.0,nøytralt
Emmet's Dream House/Rescue Rocket!,THE LEGO MOVIE 2,706.0,69.99,260.0,4.0,197.0,nøytralt
Pop-Up Book,Ideas,859.0,69.99,164.0,5.0,211.0,nøytralt
Hogwarts Clock Tower,Harry Potter,922.0,89.99,176.0,8.0,276.0,nøytralt
Mission to Mars,Classic,871.0,59.99,81.0,3.0,330.0,nøytralt
Steamboat Willie,Ideas,751.0,89.99,176.0,2.0,202.0,nøytralt
Queen Watevra's ï¿½So-Not-Evil' Space Palace,THE LEGO MOVIE 2,997.0,99.99,212.0,5.0,275.0,nøytralt
"Ariel, Aurora, and Tiana's Royal Celebration",Disney,282.0,39.99,108.0,3.0,131.0,nøytralt
World Animals,DUPLO,121.0,99.99,48.0,6.0,75.0,nøytralt
Rapunzel's Tower,DUPLO,37.0,29.99,24.0,1.0,26.0,nøytralt
Pirate Ship,Creator 3-in-1,1264.0,99.99,428.0,4.0,359.0,nøytralt
Sweet Mayhem's Systar Starship!,THE LEGO MOVIE 2,502.0,69.99,100.0,3.0,188.0,nøytralt
Hogwarts Astronomy Tower,Harry Potter,971.0,99.99,172.0,8.0,310.0,nøytralt
Hogwarts Great Hall,Harry Potter,878.0,99.99,184.0,10.0,284.0,nøytralt
Rex's Rexplorer!,THE LEGO MOVIE 2,1187.0,119.99,208.0,2.0,299.0,nøytralt
Cargo Train,DUPLO,105.0,119.99,64.0,3.0,68.0,nøytralt
Sleeping Beauty's Fairytale Castle,Disney,322.0,39.99,84.0,3.0,171.0,nøytralt
The Skeleton Attack,Minecraft,457.0,39.99,100.0,3.0,136.0,nøytralt
Cinderella's Dream Castle,Disney,585.0,69.99,132.0,2.0,218.0,nøytralt
The Bedrock Adventures,Minecraft,644.0,89.99,108.0,4.0,168.0,nøytralt
Pirate Roller Coaster,Creator 3-in-1,923.0,89.99,324.0,5.0,277.0,nøytralt
The Farm Cottage ,Minecraft,549.0,49.99,116.0,3.0,157.0,nøytralt
Pirates of Barracuda Bay,Ideas,2545.0,199.99,460.0,10.0,575.0,nøytralt
The Rexcelsior!,THE LEGO MOVIE 2,1826.0,149.99,276.0,4.0,377.0,nøytralt
Farm Adventures,DUPLO,104.0,59.99,40.0,3.0,42.0,nøytralt
Hogwarts Castle,Harry Potter,6020.0,399.99,636.0,28.0,624.0,nøytralt
Unikitty Roller Coaster Wagon,Unikitty,46.0,3.99,3.0,1.0,28.0,nøytralt
Rex's Plantimal Ambush,THE LEGO MOVIE 2,32.0,3.99,3.0,1.0,23.0,nøytralt
Summer Celebration Minifigure Pack,Minifigures,45.0,12.99,3.0,4.0,35.0,nøytralt
Police MF Accessory Set,Minifigures,42.0,12.99,3.0,4.0,33.0,nøytralt
Fairground Accessory Set,Minifigures,51.0,12.99,3.0,4.0,35.0,nøytralt
Hogwarts Students Accessory Set,Harry Potter,53.0,14.99,9.0,4.0,33.0,nøytralt
Bulldozer,DUPLO,10.0,9.99,12.0,1.0,10.0,nøytralt
Creative Fun,DUPLO,120.0,39.99,13.0,1.0,70.0,nøytralt
Truck & Tracked Excavator,DUPLO,20.0,19.99,16.0,2.0,19.0,nøytralt
Ariel's Undersea Castle,Disney,35.0,29.99,20.0,1.0,27.0,nøytralt
Wrecking Ball Demolition,DUPLO,56.0,59.99,32.0,3.0,41.0,nøytralt
Olaf's Traveling Sleigh,Disney,97.0,12.99,44.0,1.0,52.0,nøytralt
Fun Future,Classic,186.0,9.99,49.0,1.0,95.0,nøytralt
Tower Crane & Construction,DUPLO,123.0,129.99,56.0,5.0,72.0,nøytralt
Lucy's Builder Box!,THE LEGO MOVIE 2,141.0,29.99,56.0,2.0,71.0,nøytralt
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,1.0,76.0,nøytralt
Moana's Island Home,Disney,202.0,29.99,68.0,1.0,121.0,nøytralt
Diagon Alley,Harry Potter,374.0,19.99,72.0,1.0,116.0,nøytralt
Mulan's Training Grounds,Disney,157.0,29.99,76.0,1.0,94.0,nøytralt
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,3.0,98.0,nøytralt
Quidditch Match,Harry Potter,500.0,39.99,112.0,6.0,205.0,nøytralt
Hedwig,Harry Potter,630.0,39.99,148.0,1.0,166.0,nøytralt
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,2.0,119.0,nøytralt
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,8.0,383.0,nøytralt
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,2.0,141.0,nøytralt
Tree House,Ideas,3036.0,199.99,428.0,4.0,482.0,nøytralt
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,13.0,692.0,nøytralt
